	S001	S002	S003	S004	S049	S050	S051	S052
seq317	21	14	0	3	0	0	0	0
seq318	0	0	37	0	0	0	0	0
seq319	3	4	0	0	5	15	10	0
seq320	0	0	0	0	0	37	0	0
seq321	36	0	0	0	0	0	0	0
seq322	5	15	0	2	0	3	1	10
seq323	8	0	0	2	0	26	0	0
seq324	0	0	0	36	0	0	0	0
seq325	21	4	0	2	0	0	8	0
seq326	20	3	4	1	3	0	2	2
seq327	3	0	0	0	16	4	8	3
seq328	0	0	0	0	34	0	0	0
seq329	0	0	0	0	34	0	0	0
seq330	0	27	1	6	0	0	0	0
seq331	0	0	0	4	1	20	2	6
seq332	33	0	0	0	0	0	0	0
seq333	32	0	0	0	0	0	0	0
seq334	32	0	0	0	0	0	0	0
seq335	0	0	32	0	0	0	0	0
seq336	17	3	0	2	10	0	0	0
seq337	0	0	0	0	0	0	32	0
seq338	0	0	0	0	0	31	0	0
seq339	0	0	31	0	0	0	0	0
seq340	12	3	0	2	13	1	0	0
seq341	0	2	1	2	9	0	11	5
seq342	30	0	0	0	0	0	0	0
seq343	11	14	0	2	0	2	0	0
seq344	0	0	0	0	13	15	1	0
seq345	3	12	0	0	0	12	0	2
seq346	29	0	0	0	0	0	0	0
seq347	17	0	4	1	0	6	0	0
seq348	6	0	0	14	0	8	0	0
seq349	0	0	0	28	0	0	0	0
seq350	0	3	0	2	1	0	22	0
seq351	28	0	0	0	0	0	0	0
seq352	6	0	2	2	7	0	8	3
seq353	17	0	10	0	0	0	0	0
seq354	6	0	3	0	9	0	1	8
seq355	0	0	0	0	27	0	0	0
seq356	0	0	3	0	7	0	6	11
seq357	0	0	0	0	0	26	0	0
seq358	26	0	0	0	0	0	0	0
seq359	0	0	0	0	0	26	0	0
seq360	0	3	0	1	18	2	2	0
seq361	26	0	0	0	0	0	0	0
seq362	7	18	0	0	0	0	0	0
seq363	2	1	0	0	3	0	19	0
seq364	25	0	0	0	0	0	0	0
seq365	2	0	0	0	0	13	2	8
seq366	0	0	25	0	0	0	0	0
seq367	10	2	2	0	0	0	8	2
seq368	2	0	1	2	6	1	0	12
seq369	0	13	5	6	0	0	0	0
seq370	6	5	0	8	1	0	0	3
seq371	0	0	0	0	12	5	4	2
seq372	0	0	0	0	0	23	0	0
seq373	0	0	0	0	0	23	0	0
seq374	11	0	0	5	7	0	0	0
seq375	6	2	3	0	2	3	4	3
seq376	1	2	0	1	0	6	13	0
seq377	14	0	0	0	6	0	0	2
seq378	0	0	0	22	0	0	0	0
seq379	0	0	2	0	0	14	6	0
seq380	22	0	0	0	0	0	0	0
seq381	21	0	0	0	0	0	0	0
seq382	2	0	0	0	9	7	2	0
seq383	2	0	0	0	5	13	0	0
seq384	20	0	0	0	0	0	0	0
seq385	10	0	10	0	0	0	0	0
seq386	0	0	0	0	0	0	20	0
seq387	20	0	0	0	0	0	0	0
seq388	0	0	20	0	0	0	0	0
seq389	19	0	0	0	0	0	0	0
seq390	0	0	0	0	0	0	0	19
